sample_name	seq_run_id	fwd_read	rev_read
N2ax_ctrl_B	D22-2082	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2082-5600G/220224Chi_D22-2082_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2082-5600G/220224Chi_D22-2082_2_sequence.fastq
N2ax_ctrl_C	D22-2083	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2083-5600G/220224Chi_D22-2083_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2083-5600G/220224Chi_D22-2083_2_sequence.fastq
N2_A1A_pheno_A	D22-2084	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2084-5600G/220224Chi_D22-2084_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2084-5600G/220224Chi_D22-2084_2_sequence.fastq
N2_A1A_pheno_B	D22-2085	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2085-5600G/220224Chi_D22-2085_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2085-5600G/220224Chi_D22-2085_2_sequence.fastq
N2_A1A_pheno_C	D22-2086	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2086-5600G/220224Chi_D22-2086_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2086-5600G/220224Chi_D22-2086_2_sequence.fastq
N2_A1A_pheno_D	D22-2087	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2087-5600G/220224Chi_D22-2087_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2087-5600G/220224Chi_D22-2087_2_sequence.fastq
N2_A1A_pheno_E	D22-2088	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2088-5600G/220224Chi_D22-2088_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2088-5600G/220224Chi_D22-2088_2_sequence.fastq
N2_A1A_pheno_F	D22-2089	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2089-5600G/220224Chi_D22-2089_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2089-5600G/220224Chi_D22-2089_2_sequence.fastq
N2_A1A_before_dark_A	D16-7932	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7932_1_sequence.fastq	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7932_2_sequence.fastq
N2_A1A_before_dark_B	D16-7933	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7933_1_sequence.fastq	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7933_2_sequence.fastq
N2_A1A_afterT1_A	D16-7934	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7934_1_sequence.fastq	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7934_2_sequence.fastq
N2_A1A_afterT1_B	D16-7935	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7935_1_sequence.fastq	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7935_2_sequence.fastq
N2_A1A_afterT6_A	D16-7936	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7936_1_sequence.fastq	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7936_2_sequence.fastq
N2_A1A_afterT6_B	D16-7937	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7937_1_sequence.fastq	/nfs/chisholmlab001/kve/2022_SNPs_Dark_Adapted_Genomes/input_data/reads/160902ChiA_D16-7937_2_sequence.fastq
